chapter	chapter_text	block	block_text	group	group_text	code	code_text	position
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A00	Cholera	A00	Cholera	N
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A00	Cholera	A000	Cholera due to Vibrio cholerae 01, biovar cholerae	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A00	Cholera	A001	Cholera due to Vibrio cholerae 01, biovar eltor	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A00	Cholera	A009	Cholera, unspecified	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A01	Typhoid and paratyphoid fevers	A01	Typhoid and paratyphoid fevers	N
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A01	Typhoid and paratyphoid fevers	A010	Typhoid fever	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A01	Typhoid and paratyphoid fevers	A011	Paratyphoid fever A	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A01	Typhoid and paratyphoid fevers	A012	Paratyphoid fever B	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A01	Typhoid and paratyphoid fevers	A013	Paratyphoid fever C	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A01	Typhoid and paratyphoid fevers	A014	Paratyphoid fever, unspecified	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A02	Other salmonella infections	A02	Other salmonella infections	N
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A02	Other salmonella infections	A020	Salmonella enteritis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A02	Other salmonella infections	A021	Salmonella sepsis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A02	Other salmonella infections	A022	Localized salmonella infections	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A02	Other salmonella infections	A028	Other specified salmonella infections	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A02	Other salmonella infections	A029	Salmonella infection, unspecified	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A03	Shigellosis	A03	Shigellosis	N
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A03	Shigellosis	A030	Shigellosis due to Shigella dysenteriae	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A03	Shigellosis	A031	Shigellosis due to Shigella flexneri	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A03	Shigellosis	A032	Shigellosis due to Shigella boydii	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A03	Shigellosis	A033	Shigellosis due to Shigella sonnei	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A03	Shigellosis	A038	Other shigellosis	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A03	Shigellosis	A039	Shigellosis, unspecified	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A04	Other bacterial intestinal infections	A04	Other bacterial intestinal infections	N
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A04	Other bacterial intestinal infections	A040	Enteropathogenic Escherichia coli infection	T
1.0	Certain infectious and parasitic diseases	A00_A09	Intestinal infectious diseases	A04	Other bacterial intestinal infections	A041	Enterotoxigenic Escherichia coli infection	T
